Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Release_Date,Year
Toukiden Kiwami    Read the review,PS4,Tecmo Koei,Action,0.19,0.06,0.07,0.03,7.5,28  Apr 15,2015.0
Anarchy Reigns    Read the review,X360,Sega,Action,0.18,0.12,0.02,0.02,7.8,08  Jan 13,2013.0
Naruto Shippuden: Dragon Blade Chronicles    Read the review,Wii,Atlus,Action,0.18,0.11,0.02,0.05,4.0,16  Nov 10,2010.0
Clash of the Titans: The Videogame    Read the review,X360,Namco Bandai,Action,0.16,0.08,0.06,0.0,5.2,27  Jul 10,2010.0
Destroy All Humans! Big Willy Unleashed    Read the review,Wii,THQ,Action,0.13,0.12,0.0,0.0,4.3,25  Feb 08,2008.0
Fat Princess: Fistful of Cake    Read the review,PSP,Sony Computer Entertainment,Action,0.13,0.08,0.02,0.0,6.0,04  May 10,2010.0
Dead Cells    Read the review,NS,Merge Games,Action,0.11,0.08,0.02,0.0,7.0,15  Aug 18,2018.0
Hammerin' Hero    Read the review,PSP,Atlus,Action,0.08,0.07,0.0,0.0,7.8,07  Apr 09,2009.0
Deep Labyrinth    Read the review,DS,Atlus,Action,0.07,0.06,0.0,0.0,7.0,15  Aug 06,2006.0
God Hand    Read the review,PS2,Capcom,Action,0.07,0.0,0.0,0.07,7.8,10  Oct 06,2006.0
Brave: A Warrior's Tale    Read the review,Wii,SouthPeak Interactive,Action,0.06,0.05,0.0,0.0,3.2,04  Aug 09,2009.0
Senran Kagura Burst Re:Newal    Read the review,PS4,Xseed Games,Action,0.04,0.0,0.0,0.04,6.0,15  Jan 19,2019.0
All Points Bulletin    Read the review,PC,Electronic Arts,Action,0.04,0.0,0.03,0.0,4.5,29  Jun 10,2010.0
The Longest 5 Minutes    Read the review,NS,NIS America,Action,0.03,0.03,0.0,0.0,5.0,13  Feb 18,2018.0
Past Cure    Read the review,PS4,Phantom 8 Studio,Action,0.03,0.02,0.0,0.0,4.0,23rd Feb 18,2018.0
Castlevania: Lords of Shadow - Reverie    Read the review,XBL,Konami,Action,0.02,0.02,0.0,0.0,7.0,20  Apr 11,2011.0
Bound By Flame    Read the review,PS3,Focus Home Interactive,Action,0.01,0.0,0.01,0.0,6.0,07  May 14,2014.0
Red Dead Redemption 2    Read the review,PS4,Rockstar Games,Action-Adventure,13.94,5.26,6.21,0.21,8.0,26  Oct 18,2018.0
Marvel's Spider-Man    Read the review,PS4,Sony Interactive Entertainment,Action-Adventure,8.76,3.64,3.39,0.32,8.0,07  Sep 18,2018.0
Assassin's Creed III    Read the review,PS3,Ubisoft,Action-Adventure,6.5,2.65,2.61,0.16,9.2,30  Oct 12,2012.0
Watch Dogs    Read the review,PS4,Ubisoft,Action-Adventure,4.32,1.4,2.13,0.11,8.7,27  May 14,2014.0
The Legend of Zelda: Majora's Mask 3D    Read the review,3DS,Nintendo,Action-Adventure,2.5,1.2,0.64,0.48,9.0,13  Feb 15,2015.0
Batman: Arkham Origins    Read the review,PS3,Warner Bros. Interactive Entertainment,Action-Adventure,2.4,1.08,0.88,0.04,8.2,25  Oct 13,2013.0
The Legend of Zelda: The Wind Waker    Read the review,WiiU,Nintendo,Action-Adventure,2.08,1.04,0.73,0.15,9.3,04  Oct 13,2013.0
